2017-12-10 22:03:58.905743,24,11.2,164.6,"{'No Tag': 1, '900_032002752628': 7, '900_032002752619': 1}",0.3,0.59,906e2040-49bc-4c76-8d54-dd41baa80a6a
2017-12-10 22:04:40.573101,25,1.4,149.8,"{'900_032002752628': 1, 'No Tag': 1}",0.3,0.09,5740c46f-0ccc-4cf9-8d76-9d8e16294739
2017-12-10 22:04:48.660318,26,33.1,188.9,"{'900_032002752624': 10, 'No Tag': 1, '900_032002752628': 7, '900_032002752619': 7}",0.3,2.12,712cc96c-5ac1-458c-b4ff-4a69efbdae32
2017-12-10 22:06:58.800932,27,1.6,188.4,"{'900_032002752624': 1, 'No Tag': 1}",0.2,0.17,3b27ca80-33eb-432f-a106-5bd39b50c23c
2017-12-10 22:07:13.562161,28,11.1,185.9,"{'900_032002752624': 6, '900_032002752628': 5, 'No Tag': 1}",0.2,0.92,8df9709d-1710-4733-a7da-7d8a4c289825
2017-12-10 22:08:10.506628,29,30.5,189.0,"{'900_032002752624': 7, 'No Tag': 1, '900_032002752619': 4, '900_032002752628': 8}",0.3,1.89,006f669a-cca7-42b4-b2a6-68ecce14e2d3
2017-12-10 22:10:08.317762,30,23.7,171.3,"{'900_032002752624': 5, '900_032002752628': 14, 'No Tag': 1}",0.3,1.36,828438c1-0ae3-46b4-9dc5-55269c2c37e5
2017-12-10 22:11:31.052692,31,12.4,164.5,"{'900_032002752624': 3, '900_032002752628': 4, 'No Tag': 1}",0.3,0.75,1b4b4e45-5ea8-4999-b61a-971858664917
2017-12-10 22:12:17.686607,32,40.9,163.5,"{'No Tag': 1, '900_032002752619': 4, '900_032002752628': 29}",0.3,2.16,6188f2b1-0d67-4891-b513-f3aae5776c96
2017-12-10 22:14:30.827004,33,20.2,163.2,No Tag,0.3,1.02,170e0103-f3cd-4a0d-b081-598e64efa5a4
2017-12-10 22:15:33.019484,34,11.8,163.3,No Tag,0.4,0.55,9da896a8-071e-4db5-adb9-3d608148cee1
2017-12-10 22:16:07.154382,35,0.1,163.4,No Tag,0.1,0.02,78c1bedc-5674-4bef-9627-4fc29c071cf3
2017-12-10 22:16:09.677123,36,0.2,163.1,No Tag,0.1,0.05,33bb0860-67e4-4ff0-97be-4b62303eccbf
2017-12-10 22:16:13.623975,37,39.1,163.6,"{'No Tag': 1, '900_032002752628': 22, '900_032002752619': 4}",0.3,2.24,fb6569a4-3166-4e3d-a178-26a7623a52b8
2017-12-10 22:18:29.439366,38,31.2,169.9,"{'No Tag': 1, '900_032002752619': 1, '900_032002752628': 14}",0.3,1.71,b0fac312-ab0d-4a2a-b501-291bd2782b25
2017-12-10 22:20:12.962854,39,15.8,163.7,"{'900_032002752628': 10, 'No Tag': 1}",0.3,0.9,7500ade9-87a8-4990-a874-0ead2be91f2a
2017-12-10 22:21:08.585286,40,33.6,163.3,"{'900_032002752624': 1, 'No Tag': 1, '900_032002752628': 19, '900_032002752619': 2}",0.3,1.91,4a8c4735-7fca-4901-8eac-abc732c6d926
2017-12-11 09:52:56.487581,41,0.1,-9.8,"{'900_032002752624': 3, '900_032002752628': 1}",0.0,14.76,6f42e561-f49b-4015-88a0-199089fa1a8b
2017-12-11 10:07:50.850839,42,0.1,50.7,{'900_032002752624': 3},0.0,0.03,d0d2d6ee-637f-4545-8d2f-29a1c9021352
2017-12-11 10:08:47.589249,43,0.1,nan,{'900_032002752624': 3},0.0,0.04,597af628-e77a-49ca-9e26-8e7b32b721a5
2017-12-11 10:09:24.461339,44,0.1,nan,"{'900_032002752624': 2, '900_032002752628': 2}",0.0,0.08,ec114ee2-dacc-40db-afd5-e6e3dd7aeb05
